source_rank,source_name,raw_affiliation,affiliation_type,match_status,player_id,db_display_name,db_school,external_ids,has_bbr_id,stats_count,authoritative_stats_count,ai_stats_count,stats_sources,latest_stats_season,latest_stats_source,latest_games,latest_ppg,latest_rpg,latest_apg,stats_missing_reason
1,AJ Dybantsa,BYU,college,matched,5390,AJ Dybantsa,BYU,sports_reference_cbb:aj-dybantsa-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,35,25.5,6.8,3.7,
2,Darryn Peterson,Kansas,college,matched,5432,Darryn Peterson,Kansas,sports_reference_cbb:darryn-peterson-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,24,20.2,4.2,1.6,
3,Cameron Boozer,Duke,college,matched,5409,Cameron Boozer,Duke,sports_reference_cbb:cameron-boozer-3,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,38,22.5,10.2,4.1,
4,Caleb Wilson,North Carolina,college,matched,5426,Caleb Wilson,UNC,sports_reference_cbb:caleb-wilson-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,24,19.8,9.4,2.7,
5,Kingston Flemings,Houston,college,matched,5401,Kingston Flemings,Houston,sports_reference_cbb:kingston-flemings-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,37,16.1,4.1,5.2,
6,Jayden Quaintance,Kentucky,college,matched,5422,Jayden Quaintance,Kentucky,sports_reference_cbb:jayden-quaintance-1,False,2,1,1,ai_generated|sports_reference_cbb,2025-26,sports_reference_cbb,4,5.0,5.0,0.5,
7,Koa Peat,Arizona,college,matched,5406,Koa Peat,Arizona,sports_reference_cbb:koa-peat-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,36,14.1,5.6,2.6,
8,Yaxel Lendeborg,Michigan,college,matched,1691,Yaxel Lendeborg,Michigan,sports_reference_cbb:yaxel-lendeborg-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,40,15.1,6.8,3.2,
9,Hannes Steinbach,Washington,college,matched,5421,Hannes Steinbach,Washington,sports_reference_cbb:hannes-steinbach-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,30,18.5,11.8,1.6,
10,Mikel Brown Jr.,Louisville,college,matched,5389,Mikel Brown Jr.,Louisville,sports_reference_cbb:mikel-brown-jr-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,21,18.2,3.3,4.7,
11,Keaton Wagler,Illinois,college,matched,5402,Keaton Wagler,Illinois,sports_reference_cbb:keaton-wagler-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,37,17.9,5.1,4.2,
12,Thomas Haugh,Florida,college,matched,5379,Thomas Haugh,Florida,sports_reference_cbb:thomas-haugh-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,34,17.1,6.1,2.1,
13,Labaron Philon,Alabama,college,matched,1709,Labaron Philon,Alabama,sports_reference_cbb:labaron-philon-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,33,22.0,3.5,5.0,
14,Patrick Ngongba II,Duke,college,matched,5423,Patrick Ngongba II,Duke,sports_reference_cbb:patrick-ngongba-2,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,32,10.1,5.8,2.0,
15,Cameron Carr,Baylor,college,matched,5439,Cameron Carr,Baylor,sports_reference_cbb:cameron-carr-2,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,34,18.9,5.8,2.6,
16,Darius Acuff Jr.,Arkansas,college,matched,5384,Darius Acuff Jr.,Arkansas,sports_reference_cbb:darius-acuff-jr-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,36,23.5,3.1,6.4,
17,Braylon Mullins,Connecticut,college,matched,5424,Braylon Mullins,UConn,sports_reference_cbb:braylon-mullins-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,33,12.0,3.5,1.4,
18,Nate Ament,Tennessee,college,matched,5396,Nate Ament,Tennessee,sports_reference_cbb:nate-ament-1,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,35,16.7,6.3,2.3,
19,Joshua Jefferson,Iowa State,college,matched,5388,Joshua Jefferson,Iowa State,sports_reference_cbb:joshua-jefferson-1,False,2,1,1,ai_generated|sports_reference_cbb,2025-26,sports_reference_cbb,35,16.4,7.4,4.8,
20,Christian Anderson,Texas Tech,college,matched,5382,Christian Anderson,Texas Tech,sports_reference_cbb:christian-anderson-2,False,1,1,0,sports_reference_cbb,2025-26,sports_reference_cbb,33,18.5,3.6,7.4,
